Estero,Comunidad,Fecha ,Numero de entrevista,Especie,Presencia
Bahia Adair,PP-P,05/20/2008,07,Aguila,1
Bahia Adair,PP-P,05/20/2008,07,Almeja chione,1
Bahia Adair,PP-P,05/20/2008,07,Anchoa,0
Bahia Adair,PP-P,05/20/2008,07,Angel,0
Bahia Adair,PP-P,05/20/2008,07,Anguila,1
Bahia Adair,PP-P,05/20/2008,07,Baqueta,1
Bahia Adair,PP-P,05/20/2008,07,Baya,0
Bahia Adair,PP-P,05/20/2008,07,Bocadulce,0
Bahia Adair,PP-P,05/20/2008,07,Botete,0
Bahia Adair,PP-P,05/20/2008,07,Buho,0
Bahia Adair,PP-P,05/20/2008,07,Cabrilla,0
Bahia Adair,PP-P,05/20/2008,07,Callo de hacha,0
Bahia Adair,PP-P,05/20/2008,07,Camaron azul,0
Bahia Adair,PP-P,05/20/2008,07,Camaron cafe,0
Bahia Adair,PP-P,05/20/2008,07,Camaron fantasma,0
Bahia Adair,PP-P,05/20/2008,07,Cangrejo violinista,0
Bahia Adair,PP-P,05/20/2008,07,Caracol,0
Bahia Adair,PP-P,05/20/2008,07,Caracol burro,1
Bahia Adair,PP-P,05/20/2008,07,Caracol chino,1
Bahia Adair,PP-P,05/20/2008,07,Cochi,1
Bahia Adair,PP-P,05/20/2008,07,Conejo cola blanca,1
Bahia Adair,PP-P,05/20/2008,07,Correcaminos,0
Bahia Adair,PP-P,05/20/2008,07,Coyote,1
Bahia Adair,PP-P,05/20/2008,07,Curbina plateada,1
Bahia Adair,PP-P,05/20/2008,07,Delfin,1
Bahia Adair,PP-P,05/20/2008,07,Escuela de peces,1
Bahia Adair,PP-P,05/20/2008,07,Gallito marino,1
Bahia Adair,PP-P,05/20/2008,07,Garza azul,1
Bahia Adair,PP-P,05/20/2008,07,Gaviota,1
Bahia Adair,PP-P,05/20/2008,07,Gobidos,0
Bahia Adair,PP-P,05/20/2008,07,Guitarra,1
Bahia Adair,PP-P,05/20/2008,07,Jaiba,0
Bahia Adair,PP-P,05/20/2008,07,Lenguado,0
Bahia Adair,PP-P,05/20/2008,07,Lisa,1
Bahia Adair,PP-P,05/20/2008,07,Manta arenera,1
Bahia Adair,PP-P,05/20/2008,07,Manta mariposa,0
Bahia Adair,PP-P,05/20/2008,07,Mojarra,0
Bahia Adair,PP-P,05/20/2008,07,Ostion,0
Bahia Adair,PP-P,05/20/2008,07,Ostrero,1
Bahia Adair,PP-P,05/20/2008,07,Pajarito piquilargo,1
Bahia Adair,PP-P,05/20/2008,07,Pato,1
Bahia Adair,PP-P,05/20/2008,07,Pelicano,1
Bahia Adair,PP-P,05/20/2008,07,Pampano,1
Bahia Adair,PP-P,05/20/2008,07,Pulpo,0
Bahia Adair,PP-P,05/20/2008,07,Sierra,0
Bahia Adair,PP-P,05/20/2008,07,Tiburon,1
Bahia Adair,PP-P,05/20/2008,07,Tortuga,1
Bahia Adair,PP-P,05/20/2008,07,Vibora de cascabel,1
Bahia Adair,PP-P,05/20/2008,07,Deditos-Batis,0
Bahia Adair,PP-P,05/20/2008,07,Sarcocornia pacifica,0
Bahia Adair,PP-P,05/20/2008,07,Batis maritima,0
Bahia Adair,PP-P,05/20/2008,07,Bichi,0
La Salina,EC-O,05/20/2008,01,Aguila,1
La Salina,EC-O,05/20/2008,01,Almeja chione,1
La Salina,EC-O,05/20/2008,01,Anchoa,0
La Salina,EC-O,05/20/2008,01,Angel,0
La Salina,EC-O,05/20/2008,01,Anguila,1
La Salina,EC-O,05/20/2008,01,Baqueta,0
La Salina,EC-O,05/20/2008,01,Baya,0
La Salina,EC-O,05/20/2008,01,Bocadulce,1
La Salina,EC-O,05/20/2008,01,Botete,1
La Salina,EC-O,05/20/2008,01,Buho,0
La Salina,EC-O,05/20/2008,01,Cabrilla,0
La Salina,EC-O,05/20/2008,01,Callo de hacha,1
La Salina,EC-O,05/20/2008,01,Camaron azul,1
La Salina,EC-O,05/20/2008,01,Camaron cafe,0
La Salina,EC-O,05/20/2008,01,Camaron fantasma,0
La Salina,EC-O,05/20/2008,01,Cangrejo violinista,1
La Salina,EC-O,05/20/2008,01,Caracol,0
La Salina,EC-O,05/20/2008,01,Caracol burro,1
La Salina,EC-O,05/20/2008,01,Caracol chino,1
La Salina,EC-O,05/20/2008,01,Cochi,0
La Salina,EC-O,05/20/2008,01,Conejo cola blanca,0
La Salina,EC-O,05/20/2008,01,Correcaminos,1
La Salina,EC-O,05/20/2008,01,Coyote,0
La Salina,EC-O,05/20/2008,01,Curbina plateada,1
La Salina,EC-O,05/20/2008,01,Delfin,1
La Salina,EC-O,05/20/2008,01,Escuela de peces,1
La Salina,EC-O,05/20/2008,01,Gallito marino,1
La Salina,EC-O,05/20/2008,01,Garza azul,1
La Salina,EC-O,05/20/2008,01,Gaviota,1
La Salina,EC-O,05/20/2008,01,Gobidos,0
La Salina,EC-O,05/20/2008,01,Guitarra,1
La Salina,EC-O,05/20/2008,01,Jaiba,1
La Salina,EC-O,05/20/2008,01,Lenguado,1
La Salina,EC-O,05/20/2008,01,Lisa,1
La Salina,EC-O,05/20/2008,01,Manta arenera,1
La Salina,EC-O,05/20/2008,01,Manta mariposa,1
La Salina,EC-O,05/20/2008,01,Mojarra,0
La Salina,EC-O,05/20/2008,01,Ostion,1
La Salina,EC-O,05/20/2008,01,Ostrero,1
La Salina,EC-O,05/20/2008,01,Pajarito piquilargo,1
La Salina,EC-O,05/20/2008,01,Pato,0
La Salina,EC-O,05/20/2008,01,Pelicano,1
La Salina,EC-O,05/20/2008,01,Pampano,1
La Salina,EC-O,05/20/2008,01,Pulpo,1
La Salina,EC-O,05/20/2008,01,Sierra,1
La Salina,EC-O,05/20/2008,01,Tiburon,1
La Salina,EC-O,05/20/2008,01,Tortuga,1
La Salina,EC-O,05/20/2008,01,Vibora de cascabel,0
La Salina,EC-O,05/20/2008,01,Deditos-Batis,0
La Salina,EC-O,05/20/2008,01,Sarcocornia pacifica,0
La Salina,EC-O,05/20/2008,01,Batis maritima,0
La Salina,EC-O,05/20/2008,01,Bichi,0
La Salina ,EC-O,05/06/2008,02,Aguila,1
La Salina ,EC-O,05/06/2008,02,Almeja chione,1
La Salina ,EC-O,05/06/2008,02,Anchoa,0
La Salina ,EC-O,05/06/2008,02,Angel,0
La Salina ,EC-O,05/06/2008,02,Anguila,0
La Salina ,EC-O,05/06/2008,02,Baqueta,0
La Salina ,EC-O,05/06/2008,02,Baya,0
La Salina ,EC-O,05/06/2008,02,Bocadulce,0
La Salina ,EC-O,05/06/2008,02,Botete,1
La Salina ,EC-O,05/06/2008,02,Buho,0
La Salina ,EC-O,05/06/2008,02,Cabrilla,0
La Salina ,EC-O,05/06/2008,02,Callo de hacha,1
La Salina ,EC-O,05/06/2008,02,Camaron azul,1
La Salina ,EC-O,05/06/2008,02,Camaron cafe,1
La Salina ,EC-O,05/06/2008,02,Camaron fantasma,0
La Salina ,EC-O,05/06/2008,02,Cangrejo violinista,0
La Salina ,EC-O,05/06/2008,02,Caracol,0
La Salina ,EC-O,05/06/2008,02,Caracol burro,0
La Salina ,EC-O,05/06/2008,02,Caracol chino,0
La Salina ,EC-O,05/06/2008,02,Cochi,0
